business_name,phone,website,email,address,city,state,zip,google_maps_url,place_id,rating,review_count,categories_services,years_in_business,facebook,instagram,source_url,source_name,scraped_at,is_franchise,notes
A & S Window Cleaning,(602) 290-8400,http://www.aandswindowcleaning.com,,3923 W Quail Ave,Glendale,AZ,85308,https://www.google.com/maps/search/?api=1&query=A%20%26%20S%20Window%20Cleaning%2C%203923%20W%20Quail%20Ave%2C%20Glendale%2C%20AZ%2C%2085308,,,,residential,,,,https://www.yellowpages.com/glendale-az/window-cleaning,yellowpages,2026-09-06T03:23:02Z,N,website_enriched:yp_phone
A 360 View Window Cleaning,(602) 882-1632,https://a360viewwindowcleaning.com/,,,Phoenix,AZ,85050,https://www.google.com/maps/search/?api=1&query=A%20360%20View%20Window%20Cleaning%2C%20Phoenix%2C%20AZ%2C%2085050,,,,residential,,,,https://www.yellowpages.com/phoenix-az/window-cleaning?page=3,yellowpages,2026-09-06T03:24:34Z,N,North Phoenix website_enriched:verified_phone
A Clean Expression Window,(480) 513-6951,https://acleanexpression.com,,,Scottsdale,AZ,,https://www.google.com/maps/search/?api=1&query=A%20Clean%20Expression%20Window%2C%20Scottsdale%2C%20AZ,,,,window cleaning,,,,https://www.yellowpages.com/scottsdale-az/window-cleaning?page=2,yellowpages,2026-09-06T03:48:04Z,N,added_with_website_from_yp_p2
A Clean Expression Window Cleaning,(602) 776-9274,https://acleanexpression.com,,16652 N 59th Pl,Scottsdale,AZ,85254,https://www.google.com/maps/search/?api=1&query=A%20Clean%20Expression%20Window%20Cleaning%2C%2016652%20N%2059th%20Pl%2C%20Scottsdale%2C%20AZ%2C%2085254,,,,residential|screens,23,,,https://www.yellowpages.com/scottsdale-az/window-cleaning,yellowpages,2026-09-06T03:20:00Z,N,
A Cleaner View LLC,(480) 464-5555,https://www.acleanerview.com,,1533 N Alma School Rd Ste 7,Mesa,AZ,85201,https://www.google.com/maps/search/?api=1&query=A%20Cleaner%20View%20LLC%2C%201533%20N%20Alma%20School%20Rd%20Ste%207%2C%20Mesa%2C%20AZ%2C%2085201,,,,residential,19,,,https://www.yellowpages.com/tempe-az/window-cleaning,yellowpages,2026-09-06T03:23:02Z,N,Also (928) 225-0150; since 2002
A Clearer Image,(623) 986-6955,,,5526 W Alice Ave,Glendale,AZ,85302,https://www.google.com/maps/search/?api=1&query=A%20Clearer%20Image%2C%205526%20W%20Alice%20Ave%2C%20Glendale%2C%20AZ%2C%2085302,,,,residential,,,,https://www.yellowpages.com/peoria-az/window-cleaning,yellowpages,2026-09-06T03:23:02Z,N,
A New Outlook Window Cleaning,(480) 213-8305,,,10263 E Obispo Ave,Mesa,AZ,85212,https://www.google.com/maps/search/?api=1&query=A%20New%20Outlook%20Window%20Cleaning%2C%2010263%20E%20Obispo%20Ave%2C%20Mesa%2C%20AZ%2C%2085212,,,,residential,18,,,https://www.yellowpages.com/queen-creek-az/window-cleaning,yellowpages,2026-09-06T03:23:47Z,N,
A Perfect View,(602) 618-1367,,,1234 W Red Bird Rd,Phoenix,AZ,85083,https://www.google.com/maps/search/?api=1&query=A%20Perfect%20View%2C%201234%20W%20Red%20Bird%20Rd%2C%20Phoenix%2C%20AZ%2C%2085083,,,,residential,,,,https://www.yellowpages.com/phoenix-az/window-cleaning?page=2,yellowpages,2026-09-06T03:20:00Z,N,North Phoenix / Anthem-adjacent ZIP
A Window Cleaning By Ted,(623) 551-2511,,,,Phoenix,AZ,,https://www.google.com/maps/search/?api=1&query=A%20Window%20Cleaning%20By%20Ted%2C%20Phoenix%2C%20AZ,,,,residential,,,,https://www.yellowpages.com/phoenix-az/window-cleaning?page=6,yellowpages,2026-09-06T03:29:41Z,N,
AAAA New View Window Cleaning of Scottsdale,(602) 828-3800,,,,Scottsdale,AZ,,https://www.google.com/maps/search/?api=1&query=AAAA%20New%20View%20Window%20Cleaning%20of%20Scottsdale%2C%20Scottsdale%2C%20AZ,,,,residential,,,,https://www.yellowpages.com/phoenix-az/window-cleaning?page=6,yellowpages,2026-09-06T03:29:41Z,N,
